source_id,configuration,beta_deg,source_pdf_page_primary,appendix_page_primary,source_pdf_page_duplicate,appendix_page_duplicate,alpha_deg,omega_b_over_2V,zero_replicate,CA,CN,Cm,CY,Cl,Cn,qa_status
NASA_CR_3608,F-18 Body,10,71,A8,73,A10,50,-0.30,,0.004,0.49,0.081,0.137,0.0019,0.0807,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,71,A8,73,A10,50,-0.20,,0.006,0.46,0.082,0.029,-0.0022,0.0324,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,71,A8,73,A10,50,-0.10,,0.008,0.49,0.099,0.018,-0.0031,0.0083,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,71,A8,73,A10,50,0.00,1,0.015,0.46,0.103,-0.126,-0.0036,-0.0402,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,71,A8,73,A10,50,0.00,2,0.016,0.46,0.099,-0.125,-0.0033,-0.0379,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,71,A8,73,A10,50,0.10,,0.016,0.47,0.089,-0.229,-0.0067,-0.0928,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,71,A8,73,A10,50,0.20,,0.019,0.44,0.062,-0.305,-0.0082,-0.1305,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,72,A9,73,A10,55,-0.40,,-0.001,0.55,0.052,0.198,-0.0014,0.1035,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,72,A9,73,A10,55,-0.30,,0.000,0.49,0.068,0.163,0.0028,0.1039,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,72,A9,73,A10,55,-0.20,,0.002,0.48,0.078,0.073,0.0005,0.0595,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,72,A9,73,A10,55,-0.10,,0.000,0.50,0.105,0.056,0.0012,0.0454,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,72,A9,73,A10,55,0.00,1,0.007,0.51,0.128,-0.035,-0.0006,0.0012,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,72,A9,73,A10,55,0.00,2,0.007,0.50,0.127,-0.038,-0.0008,-0.0010,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,72,A9,73,A10,55,0.10,,0.006,0.50,0.092,-0.233,-0.0072,-0.0997,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,72,A9,73,A10,55,0.20,,0.008,0.49,0.069,-0.326,-0.0092,-0.1404,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,72,A9,73,A10,60,-0.40,,-0.013,0.59,0.092,0.132,-0.0020,0.0816,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,72,A9,73,A10,60,-0.30,,-0.005,0.53,0.044,0.138,0.0007,0.0927,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,72,A9,73,A10,60,-0.20,,-0.005,0.51,0.056,0.103,0.0003,0.0717,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,72,A9,73,A10,60,-0.10,,-0.008,0.53,0.104,0.075,-0.0009,0.0452,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,72,A9,73,A10,60,0.00,1,-0.001,0.55,0.145,0.046,0.0011,0.0335,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
NASA_CR_3608,F-18 Body,10,72,A9,73,A10,60,0.00,2,-0.001,0.54,0.148,0.042,0.0011,0.0330,PAGE_IMAGE_CROSSCHECKED_DUPLICATE_APPENDIX_MATCH
