source_id,configuration,beta_deg,rudder_deg,source_pdf_page,appendix_page,alpha_deg,omega_b_over_2V,zero_replicate,CA,CN,Cm,CY,Cl,Cn,qa_status
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,25,-0.30,,0.019,1.41,0.265,-0.094,0.0044,0.0597,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,25,-0.20,,0.024,1.39,0.277,-0.064,-0.0132,0.0414,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,25,-0.10,,0.023,1.37,0.301,-0.030,-0.0102,0.0233,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,25,-0.05,,0.023,1.37,0.312,-0.014,-0.0053,0.0128,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,25,0.00,1,0.036,1.28,0.301,-0.017,-0.0007,-0.0001,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,25,0.00,2,0.035,1.30,0.303,-0.019,-0.0034,-0.0002,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,25,0.05,,0.034,1.40,0.316,0.029,0.0033,-0.0089,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,25,0.10,,0.035,1.39,0.306,0.044,0.0062,-0.0189,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,25,0.20,,0.035,1.38,0.283,0.074,0.0076,-0.0369,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,25,0.30,,0.032,1.35,0.276,0.098,-0.0025,-0.0540,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,25,0.40,,0.023,1.36,0.274,0.122,-0.0180,-0.0720,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,30,-0.40,,0.026,1.54,0.306,-0.025,-0.0038,0.0955,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,30,-0.30,,0.034,1.50,0.318,-0.001,-0.0145,0.0714,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,30,-0.20,,0.035,1.44,0.345,0.029,-0.0131,0.0419,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,30,-0.10,,0.036,1.44,0.365,0.024,-0.0042,0.0194,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,30,-0.05,,0.035,1.45,0.372,0.011,0.0067,0.0118,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,30,0.00,1,0.047,1.35,0.356,-0.007,-0.0007,0.0004,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,30,0.00,2,0.044,1.40,0.355,-0.001,-0.0004,0.0007,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,30,0.05,,0.030,1.54,0.374,0.027,0.0001,-0.0064,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,30,0.10,,0.031,1.53,0.374,0.016,0.0004,-0.0158,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,30,0.20,,0.037,1.52,0.347,-0.003,0.0143,-0.0372,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,30,0.30,,0.042,1.56,0.322,0.020,0.0112,-0.0629,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,30,0.40,,0.047,1.59,0.323,0.015,-0.0008,-0.0855,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,35,-0.40,,0.029,1.65,0.368,0.109,0.0050,0.1074,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,35,-0.30,,0.042,1.53,0.375,0.104,0.0064,0.0762,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,35,-0.20,,0.047,1.49,0.380,0.059,0.0082,0.0493,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,35,-0.10,,0.046,1.48,0.395,0.026,0.0096,0.0208,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,35,-0.05,,0.044,1.49,0.397,0.011,0.0095,0.0110,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,35,0.00,1,0.058,1.41,0.388,-0.014,0.0029,0.0010,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,35,0.00,2,0.054,1.45,0.385,-0.006,0.0050,0.0018,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,35,0.05,,0.056,1.53,0.403,0.006,-0.0047,-0.0062,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,35,0.10,,0.058,1.52,0.401,-0.007,-0.0106,-0.0155,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,35,0.20,,0.058,1.51,0.384,-0.060,0.0064,-0.0438,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,35,0.30,,0.049,1.53,0.377,-0.104,-0.0065,-0.0722,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,92,A29,35,0.40,,0.032,1.62,0.373,-0.120,-0.0088,-0.1037,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,93,A30,40,-0.40,,0.038,1.71,0.336,0.233,0.0186,0.1281,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,93,A30,40,-0.30,,0.049,1.63,0.351,0.197,0.0109,0.0907,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,93,A30,40,-0.20,,0.055,1.57,0.362,0.124,0.0071,0.0515,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,93,A30,40,-0.10,,0.053,1.57,0.387,0.077,0.0042,0.0170,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,93,A30,40,-0.05,,0.053,1.57,0.389,0.050,0.0030,0.0050,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,93,A30,40,0.00,1,0.062,1.49,0.389,-0.001,0.0016,0.0002,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,93,A30,40,0.00,2,0.062,1.52,0.395,0.005,0.0014,0.0004,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,93,A30,40,0.05,,0.063,1.59,0.408,-0.020,-0.0007,-0.0041,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,93,A30,40,0.10,,0.064,1.60,0.404,-0.045,-0.0060,-0.0095,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,93,A30,40,0.20,,0.067,1.61,0.378,-0.080,-0.0083,-0.0398,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,93,A30,40,0.30,,0.065,1.64,0.367,-0.169,-0.0104,-0.0826,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,93,A30,40,0.40,,0.054,1.72,0.352,-0.211,-0.0167,-0.1234,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,"F-18 Body, Wing, LEX, Vertical",0,0,93,A30,45,-0.40,,0.045,1.73,0.282,0.311,0.0248,0.1700,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
