source_id,configuration,beta_deg,source_pdf_page,appendix_page,alpha_deg,omega_b_over_2V,zero_replicate,CA,CN,Cm,CY,Cl,Cn,qa_status
NASA_CR_3608,F-18 Body, Wing,0,77,A14,35,0.05,,0.046,1.15,-0.079,-0.057,0.0119,-0.0086,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,35,0.10,,0.046,1.17,-0.074,-0.072,0.0095,-0.0160,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,35,0.20,,0.046,1.22,-0.075,-0.116,0.0132,-0.0395,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,35,0.30,,0.040,1.30,-0.095,-0.155,0.0087,-0.0606,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,77,A14,35,0.40,,0.029,1.38,-0.109,-0.228,-0.0052,-0.0885,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,40,-0.40,,0.022,1.54,-0.113,0.263,-0.0021,0.1087,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,40,-0.30,,0.036,1.43,-0.093,0.201,-0.0062,0.0810,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,40,-0.20,,0.045,1.30,-0.079,0.155,-0.0033,0.0560,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,40,-0.10,,0.045,1.19,-0.064,0.097,0.0004,0.0360,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,40,-0.05,,0.047,1.17,-0.074,0.061,-0.0016,0.0245,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,40,0.00,1,0.056,1.16,-0.084,-0.002,-0.0016,0.0018,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,40,0.00,2,0.056,1.16,-0.086,-0.003,-0.0027,0.0011,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,40,0.05,,0.055,1.24,-0.089,-0.038,0.0041,-0.0087,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,40,0.10,,0.056,1.24,-0.080,-0.071,0.0063,-0.0197,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,40,0.20,,0.055,1.32,-0.079,-0.128,0.0065,-0.0478,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,40,0.30,,0.048,1.42,-0.105,-0.184,0.0088,-0.0782,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,40,0.40,,0.035,1.52,-0.140,-0.257,0.0024,-0.1102,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,45,-0.40,,0.019,1.69,-0.130,0.334,-0.0016,0.1331,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,45,-0.30,,0.029,1.55,-0.103,0.261,0.0017,0.0959,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,45,-0.20,,0.033,1.43,-0.091,0.207,0.0043,0.0711,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,45,-0.10,,0.030,1.34,-0.080,0.158,0.0038,0.0514,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,45,-0.05,,0.032,1.32,-0.085,0.103,0.0014,0.0342,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,45,0.00,1,0.046,1.27,-0.087,0.010,-0.0062,0.0045,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,45,0.00,2,0.047,1.25,-0.083,0.010,-0.0040,0.0060,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
