point,factor,mode,real_per_s,imag_rad_s,abs_difference_to_chosen
46,0.1,D,-0.47678082241991671,0,1.682E-008
46,0.1,A+,-0.48085104853742755,1.3219052792111992,3.736E-005
46,0.1,A-,-0.48085104853742755,-1.3219052792111992,3.736E-005
46,0.03,B+,-0.028097184140832995,0.1445142375868666,7.389E-006
46,0.03,B-,-0.028097184140832995,-0.1445142375868666,7.389E-006
46,0.03,C+,-0.12991429859807282,2.9012457998599581,2.315E-005
46,0.03,C-,-0.12991429859807282,-2.9012457998599581,2.315E-005
46,0.03,E,-0.19022010830420188,0,1.505E-007
46,0.03,D,-0.47678080499748721,0,3.424E-008
46,0.03,A+,-0.4806547148202962,1.321888857488394,1.597E-004
46,0.03,A-,-0.4806547148202962,-1.321888857488394,1.597E-004
46,0.01,B+,-0.028086733237845017,0.144498454558191,1.155E-005
46,0.01,B-,-0.028086733237845017,-0.144498454558191,1.155E-005
46,0.01,C+,-0.12991427513913856,2.9012453577984774,2.359E-005
46,0.01,C-,-0.12991427513913856,-2.9012453577984774,2.359E-005
46,0.01,E,-0.19022011554494192,0,1.577E-007
46,0.01,D,-0.47678080507660076,0,3.416E-008
46,0.01,A+,-0.48104336789978619,1.3219205296415595,2.303E-004
46,0.01,A-,-0.48104336789978619,-1.3219205296415595,2.303E-004
46,0.003,B+,-0.028069998989573491,0.14447500823299247,4.034E-005
46,0.003,B-,-0.028069998989573491,-0.14447500823299247,4.034E-005
46,0.003,C+,-0.12991426633592343,2.90124518481395,2.376E-005
46,0.003,C-,-0.12991426633592343,-2.90124518481395,2.376E-005
46,0.003,E,-0.19022011145817941,0,1.536E-007
46,0.003,D,-0.47678079694584163,0,4.229E-008
46,0.003,A+,-0.48163034499168028,1.3219629881194783,8.188E-004
46,0.003,A-,-0.48163034499168028,-1.3219629881194783,8.188E-004
117,100,B+,-0.0031544202925787275,0.12155113431152474,4.291E-004
117,100,B-,-0.0031544202925787275,-0.12155113431152474,4.291E-004
117,100,E,-0.019019804522540942,0,8.128E-004
117,100,C+,-0.48874161909013553,7.9629518090087341,4.298E-005
117,100,C-,-0.48874161909013553,-7.9629518090087341,4.298E-005
117,100,A+,-1.3899613201407277,1.9238575287267548,3.321E-001
117,100,A-,-1.3899613201407277,-1.9238575287267548,3.321E-001
117,100,D,-1.6421082826629665,0,4.068E-004
117,30,B+,-0.0032068469185032745,0.12116458584963732,3.900E-005
117,30,B-,-0.0032068469185032745,-0.12116458584963732,3.900E-005
117,30,E,-0.019760505504578675,0,7.214E-005
117,30,C+,-0.48874088128110182,7.9629911064263759,3.671E-006
117,30,C-,-0.48874088128110182,-7.9629911064263759,3.671E-006
117,30,A+,-1.3907051284472018,2.2211508605844843,3.480E-002
117,30,A-,-1.3907051284472018,-2.2211508605844843,3.480E-002
117,30,D,-1.6417356986599274,0,3.423E-005
117,10,B+,-0.003211642188602769,0.12113018315768663,4.265E-006
117,10,B-,-0.003211642188602769,-0.12113018315768663,4.265E-006
117,10,E,-0.019824700231684558,0,7.941E-006
117,10,C+,-0.48874081474074405,7.9629945327716776,2.451E-007
117,10,C-,-0.48874081474074405,-7.9629945327716776,2.451E-007
117,10,A+,-1.3907701139137587,2.2520768575235737,3.870E-003
117,10,A-,-1.3907701139137587,-2.2520768575235737,3.870E-003
117,10,D,-1.6417050978335184,0,3.625E-006
117,3,B+,-0.0032121903098600788,0.12112628507451006,3.287E-007
117,3,B-,-0.0032121903098600788,-0.12112628507451006,3.287E-007
117,3,E,-0.019831974030069564,0,6.669E-007
117,3,C+,-0.488740823092368,7.9629950843647208,3.092E-007
117,3,C-,-0.488740823092368,-7.9629950843647208,3.092E-007
117,3,A+,-1.3907762960025645,2.2556333545241589,3.135E-004
117,3,A-,-1.3907762960025645,-2.2556333545241589,3.135E-004
117,3,D,-1.6417016095362671,0,1.362E-007
117,1,B+,-0.003212231455196285,0.12112595895684651,0.000E+000
117,1,B-,-0.003212231455196285,-0.12112595895684651,0.000E+000
117,1,E,-0.019832640899577893,0,0.000E+000
117,1,C+,-0.48874079137051452,7.9629947767882,0.000E+000
