sign,t_s,alpha_deg,beta_deg,p_rad_s,q_rad_s,r_rad_s,theta_deg,phi_deg,V_ft_s,heading_rate_rad_s
+,5680,8.845462526E+000,2.345868078E-002,-2.540725760E-003,8.993258778E-002,4.618019021E-002,1.439638285E+000,6.281959930E+001,6.215934118E+002,1.011283126E-001
+,5720,8.845462528E+000,2.345868073E-002,-2.540725936E-003,8.993258800E-002,4.618019025E-002,1.439638297E+000,6.281959930E+001,6.215934118E+002,1.011283128E-001
+,5760,8.845462526E+000,2.345868087E-002,-2.540725857E-003,8.993258779E-002,4.618019022E-002,1.439638293E+000,6.281959929E+001,6.215934119E+002,1.011283126E-001
+,5800,8.845462529E+000,2.345868142E-002,-2.540725971E-003,8.993258802E-002,4.618019024E-002,1.439638285E+000,6.281959929E+001,6.215934119E+002,1.011283128E-001
+,5840,8.845462526E+000,2.345868094E-002,-2.540726056E-003,8.993258781E-002,4.618019027E-002,1.439638285E+000,6.281959930E+001,6.215934118E+002,1.011283126E-001
+,5880,8.845462529E+000,2.345868092E-002,-2.540725929E-003,8.993258803E-002,4.618019025E-002,1.439638296E+000,6.281959930E+001,6.215934118E+002,1.011283128E-001
+,5920,8.845462533E+000,2.345868091E-002,-2.540725984E-003,8.993258825E-002,4.618019026E-002,1.439638292E+000,6.281959929E+001,6.215934118E+002,1.011283130E-001
+,5960,8.845462529E+000,2.345868068E-002,-2.540726084E-003,8.993258804E-002,4.618019028E-002,1.439638287E+000,6.281959929E+001,6.215934118E+002,1.011283128E-001
+,6000,8.845462532E+000,2.345868067E-002,-2.540726097E-003,8.993258826E-002,4.618019029E-002,1.439638286E+000,6.281959929E+001,6.215934118E+002,1.011283130E-001
-,0,1.029388618E+001,-8.601353624E-006,1.776171801E-006,3.108731565E-045,-7.927333416E-006,1.509671211E+001,-5.729577951E-003,3.824000000E+002,-8.210704680E-006
-,40,1.029388695E+001,-9.942927232E-006,2.053147219E-006,1.683599446E-009,-9.163733000E-006,1.509670987E+001,-6.623194719E-003,3.823999954E+002,-9.491300814E-006
-,80,1.029388695E+001,-1.149368026E-005,2.373369553E-006,-1.416919779E-009,-1.059296024E-005,1.509671152E+001,-7.656185474E-003,3.823999854E+002,-1.097161700E-005
-,120,1.029388695E+001,-1.328628793E-005,2.743534435E-006,1.560023757E-009,-1.224508978E-005,1.509671264E+001,-8.850281898E-003,3.823999930E+002,-1.268280420E-005
-,160,1.029388695E+001,-1.535846831E-005,3.171430108E-006,4.263276245E-009,-1.415488398E-005,1.509671117E+001,-1.023060847E-002,3.823999980E+002,-1.466086646E-005
