case,group,equilibrium,mode,amplitude,dt_s,duration_s,window_end_s,window_samples,predicted_re_per_s,predicted_im_rad_s,measured_sigma_modal,measured_omega_modal,measured_sigma_state,measured_omega_state,dominant_state,zero_crossings,extrema,wp3d_uncertainty,rate_error,rate_band,rate_agrees,frequency_error,frequency_band,frequency_agrees,reference_amplitude
C150-B,C,table_vii_150,B+,0.001,0.05,400,400,4001,-0.0083333362552611666,0.11552491507065854,-0.0083332905962273159,0.1155249612965186,-0.00833332832480834,0.11552498316410961,V,15,14,1.026E-007,4.5659033850661834E-08,1.159E-003,,4.6225860056425816E-08,5.779E-004,,false
C150-C,C,table_vii_150,C+,1E-06,0.01,12,7.72,387,-0.29782967199246657,4.7396037289906907,-0.297822080192034,4.7394405041268861,-0.2978441233513992,4.7394548219308037,p,12,11,5.185E-007,7.5918004325825628E-06,4.749E-002,,0.00016322486380460077,2.370E-002,,false
C150-C,C,table_vii_150,C+,1E-05,0.01,12,12,601,-0.29782967199246657,4.7396037289906907,-0.29787352813415729,4.7394794670742231,-0.29787026309327708,4.739488528227545,p,18,18,5.185E-007,4.3856141690723494E-05,4.749E-002,,0.0001242619164676384,2.370E-002,,false
C150-C,C,table_vii_150,C+,0.0001,0.01,12,12,601,-0.29782967199246657,4.7396037289906907,-0.29786057718098963,4.7395861956922927,-0.29785782652439391,4.73958872228887,p,18,18,5.185E-007,3.0905188523056015E-05,4.749E-002,true,1.7533298398042518E-05,2.370E-002,true,true
C150-C,C,table_vii_150,C+,0.001,0.01,12,12,601,-0.29782967199246657,4.7396037289906907,-0.2978301279956807,4.7396024372525263,-0.29783014792859053,4.7396127256664311,p,18,18,5.185E-007,4.5600321413319378E-07,4.749E-002,,1.291738164432843E-06,2.370E-002,,false
C150-D,C,table_vii_150,D,1E-06,0.01,15,3.02,152,-0.7594670635474341,0,-0.75951764453324466,0,-0.75964615540846414,0,phi,0,0,2.164E-008,5.0580985810566581E-05,7.595E-003,,,,,false
C150-D,C,table_vii_150,D,1E-05,0.01,15,6.0600000000000005,304,-0.7594670635474341,0,-0.7596197244146069,0,-0.75938908394506111,0,phi,0,0,2.164E-008,0.00015266086717280469,7.595E-003,,,,,false
C150-D,C,table_vii_150,D,0.0001,0.01,15,6.0600000000000005,304,-0.7594670635474341,0,-0.75947886452078872,0,-0.75946995908931381,0,phi,0,0,2.164E-008,1.1800973354625377E-05,7.595E-003,true,,,,true
C150-D,C,table_vii_150,D,0.001,0.01,15,6.0600000000000005,304,-0.7594670635474341,0,-0.75946993419099063,0,-0.75946778988533337,0,phi,0,0,2.164E-008,2.8706435565295507E-06,7.595E-003,,,,,false
C150-E,C,table_vii_150,E,1E-06,0.1,2000,2000,2001,-0.00060198662303175509,0,-0.00041740133254299176,0,-0.0004176194960193199,0,phi,0,0,3.265E-008,0.00018458529048876333,6.218E-006,,,,,false
C150-E,C,table_vii_150,E,1E-05,0.1,2000,2000,2001,-0.00060198662303175509,0,-0.000601882438420387,0,-0.0006018859797378576,0,phi,0,0,3.265E-008,1.0418461136808745E-07,6.218E-006,,,,,false
C150-E,C,table_vii_150,E,0.0001,0.1,2000,2000,2001,-0.00060198662303175509,0,-0.0006019207228128889,0,-0.00060192053576602381,0,phi,0,0,3.265E-008,6.5900218866187139E-08,6.218E-006,true,,,,true
C150-E,C,table_vii_150,E,0.001,0.1,2000,2000,2001,-0.00060198662303175509,0,-0.00060201446835018806,0,-0.00060201294023153626,0,phi,0,0,3.265E-008,2.7845318432973E-08,6.218E-006,,,,,false
C117-C,C,table_vii_117,C+,1E-06,0.01,10,4.7,236,-0.48874079137051452,7.9629947767882,-0.48877826848348327,7.9630750955829033,-0.48884815890089411,7.9629991686563262,p,12,11,1.826E-007,3.7477112968753445E-05,7.978E-002,,8.0318794703160279E-05,3.982E-002,,false
C117-C,C,table_vii_117,C+,1E-05,0.01,10,9.42,472,-0.48874079137051452,7.9629947767882,-0.48869574508512137,7.9629364688300628,-0.48869113440757717,7.9629267433581115,p,24,23,1.826E-007,4.504628539314659E-05,7.978E-002,,5.8307958137326921E-05,3.982E-002,,false
C117-C,C,table_vii_117,C+,0.0001,0.01,10,9.42,472,-0.48874079137051452,7.9629947767882,-0.48872361061925923,7.9630112540106852,-0.48872630326185584,7.9629934259774782,p,24,23,1.826E-007,1.7180751255285731E-05,7.978E-002,true,1.647722248510064E-05,3.982E-002,true,true
C117-C,C,table_vii_117,C+,0.001,0.01,10,9.42,472,-0.48874079137051452,7.9629947767882,-0.48873068039689327,7.9629880034002394,-0.48873209108865839,7.9629622295996532,p,24,23,1.826E-007,1.01109736212468E-05,7.978E-002,,6.7733879607345671E-06,3.982E-002,,false
D123-E,D,table_vii_123,E,1E-06,0.1,2000,1953,1954,-0.0011118672698481648,0,-0.00090728824960998114,0,-0.00090745182154920224,0,V,0,0,8.114E-007,0.00020457902023818361,1.365E-005,,,,,false
